TEXT,LABEL
burning micturition bladder discomfort foul smell of urine continuous feel of urine,urinary-tract-infection
weight gain cold hands and feets mood swings lethargy dizziness puffy face and eyes enlarged thyroid brittle nails swollen extremeties depression irritability abnormal menstruation,hypothyroidism
vomiting breathlessness sweating chest pain,heart-attack
fatigue mood swings weight loss restlessness sweating diarrhoea fast heart rate excessive hunger muscle weakness irritability abnormal menstruation,hyperthyroidism
continuous sneezing shivering chills watering from eyes,allergy
continuous sneezing shivering chills,allergy
itching fatigue lethargy yellowish skin dark urine loss of appetite yellow urine yellowing of eyes malaise receiving blood transfusion receiving unsterile injections,hepatitis-b
itching vomiting yellowish skin nausea loss of appetite yellowing of eyes,chronic-cholestasis
vomiting indigestion loss of appetite abdominal pain passage of gases internal itching,peptic-ulcer-diseae
joint pain neck pain knee pain hip joint pain swelling joints painful walking,osteoarthristis
skin rash pus filled pimples blackheads,acne
acidity indigestion headache blurred and distorted vision excessive hunger stiff neck irritability visual disturbances,migraine
fatigue weight gain cold hands and feets mood swings dizziness puffy face and eyes enlarged thyroid brittle nails swollen extremeties depression irritability abnormal menstruation,hypothyroidism
vomiting fatigue weight loss high fever yellowish skin dark urine abdominal pain,jaundice
fatigue yellowish skin nausea loss of appetite yellowing of eyes family history,hepatitis-c
vomiting breathlessness chest pain,heart-attack
skin rash high fever blister red sore around nose yellow crust ooze,impetigo
vomiting yellowish skin abdominal pain swelling of stomach distention of abdomen history of alcohol consumption fluid overload,alcoholic-hepatitis
vomiting yellowish skin abdominal pain distention of abdomen history of alcohol consumption fluid overload,alcoholic-hepatitis
vomiting yellowish skin abdominal pain swelling of stomach distention of abdomen history of alcohol consumption fluid overload,alcoholic-hepatitis
chills cough high fever breathlessness sweating malaise phlegm chest pain fast heart rate rusty sputum,pneumonia
itching skin rash stomach pain burning micturition spotting urination,drug-reaction
fatigue cough high fever breathlessness family history mucoid sputum,bronchial-asthma
vomiting breathlessness sweating chest pain,heart-attack
chills vomiting fatigue high fever headache nausea constipation abdominal pain diarrhoea toxic look typhos belly pain,typhoid
continuous sneezing shivering chills watering from eyes,allergy
itching vomiting yellowish skin nausea loss of appetite abdominal pain yellowing of eyes,chronic-cholestasis
yellowish skin nausea loss of appetite yellowing of eyes family history,hepatitis-c
constipation pain during bowel movements pain in anal region irritation in anus,dimorphic-hemmorhoidspiles
chills vomiting fatigue high fever headache nausea constipation abdominal pain diarrhoea belly pain,typhoid
patches in throat high fever extra marital contacts,aids
skin rash joint pain skin peeling silver like dusting small dents in nails inflammatory nails,psoriasis
vomiting fatigue anxiety sweating headache blurred and distorted vision excessive hunger drying and tingling lips slurred speech irritability palpitations,hypoglycemia
skin rash high fever blister red sore around nose yellow crust ooze,impetigo
joint pain neck pain knee pain hip joint pain swelling joints painful walking,osteoarthristis
fatigue yellowish skin nausea loss of appetite family history,hepatitis-c
vomiting fatigue anxiety sweating headache nausea blurred and distorted vision excessive hunger drying and tingling lips slurred speech irritability palpitations,hypoglycemia
continuous sneezing chills fatigue cough high fever headache swelled lymph nodes malaise phlegm throat irritation redness of eyes sinus pressure runny nose congestion chest pain loss of smell muscle pain,common-cold
chills vomiting fatigue weight loss cough high fever sweating loss of appetite mild fever yellowing of eyes swelled lymph nodes malaise phlegm chest pain blood in sputum,tuberculosis
fatigue weight gain cold hands and feets mood swings lethargy dizziness puffy face and eyes enlarged thyroid brittle nails swollen extremeties depression irritability abnormal menstruation,hypothyroidism
bladder discomfort foul smell of urine continuous feel of urine,urinary-tract-infection
fatigue weight loss restlessness lethargy irregular sugar level blurred and distorted vision obesity excessive hunger increased appetite polyuria,diabetes
itching vomiting yellowish skin nausea loss of appetite abdominal pain yellowing of eyes,chronic-cholestasis
vomiting sweating chest pain,heart-attack
continuous sneezing shivering chills watering from eyes,allergy
vomiting yellowish skin abdominal pain swelling of stomach distention of abdomen history of alcohol consumption fluid overload,alcoholic-hepatitis
continuous sneezing shivering watering from eyes,allergy
fatigue yellowish skin nausea loss of appetite yellowing of eyes family history,hepatitis-c
fatigue cramps bruising swollen legs swollen blood vessels prominent veins on calf,varicose-veins
back pain weakness in limbs neck pain dizziness,cervical-spondylosis
itching fatigue lethargy yellowish skin dark urine loss of appetite abdominal pain yellow urine yellowing of eyes malaise receiving blood transfusion receiving unsterile injections,hepatitis-b
fatigue cramps bruising obesity swollen legs swollen blood vessels prominent veins on calf,varicose-veins
headache chest pain dizziness loss of balance lack of concentration,hypertension-
itching skin rash stomach pain burning micturition spotting urination,drug-reaction
itching fatigue lethargy yellowish skin dark urine loss of appetite abdominal pain yellow urine yellowing of eyes malaise receiving blood transfusion receiving unsterile injections,hepatitis-b
vomiting breathlessness sweating chest pain,heart-attack
vomiting indigestion abdominal pain passage of gases internal itching,peptic-ulcer-diseae
itching vomiting yellowish skin nausea loss of appetite abdominal pain yellowing of eyes,chronic-cholestasis
vomiting fatigue anxiety sweating headache nausea blurred and distorted vision excessive hunger drying and tingling lips slurred speech irritability palpitations,hypoglycemia
joint pain vomiting yellowish skin nausea loss of appetite abdominal pain diarrhoea mild fever yellowing of eyes muscle pain,hepatitis-a
pus filled pimples blackheads scurring,acne
fatigue yellowish skin nausea loss of appetite yellowing of eyes family history,hepatitis-c
joint pain vomiting yellowish skin dark urine nausea abdominal pain diarrhoea mild fever yellowing of eyes muscle pain,hepatitis-a
back pain neck pain dizziness loss of balance,cervical-spondylosis
constipation pain during bowel movements pain in anal region bloody stool irritation in anus,dimorphic-hemmorhoidspiles
joint pain neck pain knee pain hip joint pain swelling joints painful walking,osteoarthristis
burning micturition bladder discomfort foul smell of urine continuous feel of urine,urinary-tract-infection
itching skin rash nodal skin eruptions dischromic patches,fungal-infection
joint pain vomiting yellowish skin dark urine nausea loss of appetite abdominal pain diarrhoea mild fever yellowing of eyes muscle pain,hepatitis-a
itching vomiting fatigue weight loss high fever yellowish skin dark urine abdominal pain,jaundice
vomiting dehydration diarrhoea,gastroenteritis
chills vomiting fatigue cough high fever breathlessness sweating loss of appetite mild fever yellowing of eyes swelled lymph nodes malaise phlegm chest pain blood in sputum,tuberculosis
vomiting breathlessness sweating chest pain,heart-attack
fatigue yellowish skin loss of appetite yellowing of eyes family history,hepatitis-c
burning micturition bladder discomfort foul smell of urine continuous feel of urine,urinary-tract-infection
fatigue anxiety sweating headache nausea blurred and distorted vision excessive hunger drying and tingling lips slurred speech irritability palpitations,hypoglycemia
headache chest pain dizziness loss of balance lack of concentration,hypertension-
skin rash pus filled pimples blackheads scurring,acne
fatigue weight loss restlessness sweating diarrhoea fast heart rate excessive hunger muscle weakness irritability abnormal menstruation,hyperthyroidism
continuous sneezing chills fatigue cough high fever headache swelled lymph nodes malaise phlegm throat irritation redness of eyes sinus pressure runny nose congestion chest pain loss of smell muscle pain,common-cold
itching skin rash nodal skin eruptions dischromic patches,fungal-infection
chills vomiting fatigue high fever headache nausea constipation abdominal pain diarrhoea toxic look typhos belly pain,typhoid
muscle weakness stiff neck swelling joints movement stiffness painful walking,arthritis
skin rash pus filled pimples blackheads,acne
stomach pain acidity ulcers on tongue vomiting cough,gerd
skin rash pus filled pimples blackheads,acne
itching fatigue lethargy yellowish skin dark urine loss of appetite abdominal pain yellow urine yellowing of eyes malaise receiving blood transfusion receiving unsterile injections,hepatitis-b
joint pain vomiting yellowish skin dark urine nausea loss of appetite abdominal pain diarrhoea mild fever yellowing of eyes muscle pain,hepatitis-a
vomiting yellowish skin nausea loss of appetite abdominal pain yellowing of eyes,chronic-cholestasis
muscle wasting patches in throat high fever,aids
headache chest pain dizziness loss of balance,hypertension-
fatigue cramps bruising obesity swollen legs prominent veins on calf,varicose-veins
vomiting fatigue sweating headache nausea blurred and distorted vision excessive hunger drying and tingling lips slurred speech irritability palpitations,hypoglycemia
fatigue cramps bruising obesity swollen legs swollen blood vessels prominent veins on calf,varicose-veins
vomiting yellowish skin abdominal pain swelling of stomach distention of abdomen history of alcohol consumption fluid overload,alcoholic-hepatitis
skin rash blackheads scurring,acne
itching skin rash nodal skin eruptions dischromic patches,fungal-infection
joint pain neck pain hip joint pain swelling joints painful walking,osteoarthristis
chills vomiting high fever sweating headache nausea diarrhoea muscle pain,malaria
fatigue cough high fever breathlessness family history mucoid sputum,bronchial-asthma
vomiting nausea spinning movements loss of balance unsteadiness,vertigo-paroymsal--positional-vertigo
skin rash chills joint pain vomiting fatigue high fever headache nausea loss of appetite pain behind the eyes back pain malaise muscle pain red spots over body,dengue
chills fatigue cough high fever sweating malaise phlegm chest pain fast heart rate rusty sputum,pneumonia
muscle wasting high fever extra marital contacts,aids
itching skin rash stomach pain burning micturition spotting urination,drug-reaction
itching vomiting yellowish skin nausea loss of appetite abdominal pain,chronic-cholestasis
vomiting yellowish skin abdominal pain swelling of stomach history of alcohol consumption fluid overload,alcoholic-hepatitis
joint pain vomiting high fever yellowish skin dark urine nausea loss of appetite abdominal pain yellowing of eyes acute liver failure coma stomach bleeding,hepatitis-e
acidity indigestion headache excessive hunger stiff neck depression irritability visual disturbances,migraine
itching vomiting fatigue weight loss high fever yellowish skin dark urine,jaundice
headache dizziness loss of balance lack of concentration,hypertension-
joint pain vomiting yellowish skin dark urine nausea loss of appetite abdominal pain diarrhoea mild fever yellowing of eyes muscle pain,hepatitis-a
muscle wasting patches in throat high fever extra marital contacts,aids
skin rash chills joint pain vomiting fatigue high fever headache nausea loss of appetite pain behind the eyes back pain malaise muscle pain red spots over body,dengue
chills fatigue high fever breathlessness sweating malaise phlegm chest pain fast heart rate rusty sputum,pneumonia
skin rash pus filled pimples blackheads scurring,acne
chills vomiting fatigue weight loss cough high fever breathlessness sweating loss of appetite mild fever yellowing of eyes swelled lymph nodes malaise phlegm chest pain blood in sputum,tuberculosis
fatigue cough high fever breathlessness family history mucoid sputum,bronchial-asthma
chills fatigue cough high fever breathlessness sweating malaise phlegm chest pain fast heart rate rusty sputum,pneumonia
skin rash chills joint pain vomiting fatigue high fever headache nausea loss of appetite pain behind the eyes back pain malaise muscle pain red spots over body,dengue
fatigue weight loss restlessness lethargy irregular sugar level blurred and distorted vision obesity excessive hunger increased appetite polyuria,diabetes
itching vomiting yellowish skin nausea abdominal pain yellowing of eyes,chronic-cholestasis
chills vomiting high fever sweating headache nausea diarrhoea muscle pain,malaria
vomiting indigestion loss of appetite passage of gases internal itching,peptic-ulcer-diseae
chills vomiting fatigue weight loss cough high fever breathlessness loss of appetite mild fever yellowing of eyes swelled lymph nodes malaise phlegm chest pain blood in sputum,tuberculosis
fatigue cough high fever breathlessness family history mucoid sputum,bronchial-asthma
headache chest pain dizziness loss of balance lack of concentration,hypertension-
vomiting headache nausea spinning movements loss of balance unsteadiness,vertigo-paroymsal--positional-vertigo
vomiting yellowish skin abdominal pain swelling of stomach history of alcohol consumption fluid overload,alcoholic-hepatitis
fatigue high fever breathlessness family history mucoid sputum,bronchial-asthma
itching vomiting yellowish skin nausea loss of appetite abdominal pain yellowing of eyes,chronic-cholestasis
itching skin rash fatigue lethargy high fever headache loss of appetite mild fever swelled lymph nodes malaise red spots over body,chicken-pox
mood swings weight loss restlessness sweating diarrhoea fast heart rate excessive hunger muscle weakness irritability abnormal menstruation,hyperthyroidism
constipation pain during bowel movements bloody stool irritation in anus,dimorphic-hemmorhoidspiles
acidity indigestion headache blurred and distorted vision excessive hunger stiff neck depression irritability visual disturbances,migraine
joint pain neck pain knee pain hip joint pain swelling joints painful walking,osteoarthristis
vomiting breathlessness sweating chest pain,heart-attack
continuous sneezing chills watering from eyes,allergy
chills vomiting fatigue high fever headache nausea constipation abdominal pain diarrhoea toxic look typhos belly pain,typhoid
joint pain vomiting fatigue yellowish skin nausea loss of appetite abdominal pain yellowing of eyes,hepatitis-d
continuous sneezing chills fatigue cough high fever headache swelled lymph nodes malaise phlegm throat irritation redness of eyes sinus pressure runny nose congestion chest pain loss of smell muscle pain,common-cold
itching fatigue lethargy yellowish skin dark urine loss of appetite abdominal pain yellow urine yellowing of eyes malaise receiving blood transfusion receiving unsterile injections,hepatitis-b
vomiting fatigue sweating headache nausea blurred and distorted vision excessive hunger drying and tingling lips slurred speech irritability palpitations,hypoglycemia
constipation pain during bowel movements pain in anal region bloody stool irritation in anus,dimorphic-hemmorhoidspiles
skin rash fatigue lethargy high fever headache loss of appetite mild fever swelled lymph nodes malaise red spots over body,chicken-pox
vomiting fatigue anxiety sweating headache nausea blurred and distorted vision excessive hunger drying and tingling lips slurred speech irritability palpitations,hypoglycemia
itching fatigue lethargy yellowish skin dark urine loss of appetite abdominal pain yellow urine yellowing of eyes malaise receiving blood transfusion receiving unsterile injections,hepatitis-b
fatigue cramps bruising obesity swollen legs swollen blood vessels prominent veins on calf,varicose-veins
joint pain vomiting fatigue high fever yellowish skin dark urine nausea loss of appetite abdominal pain yellowing of eyes acute liver failure coma stomach bleeding,hepatitis-e
stomach pain acidity ulcers on tongue cough chest pain,gerd
stomach pain acidity ulcers on tongue cough chest pain,gerd
itching vomiting fatigue weight loss high fever yellowish skin dark urine abdominal pain,jaundice
fatigue yellowish skin nausea loss of appetite yellowing of eyes family history,hepatitis-c
itching fatigue lethargy yellowish skin dark urine loss of appetite abdominal pain yellow urine yellowing of eyes malaise receiving blood transfusion receiving unsterile injections,hepatitis-b
chills fatigue weight loss cough high fever breathlessness sweating loss of appetite mild fever yellowing of eyes swelled lymph nodes malaise phlegm chest pain blood in sputum,tuberculosis
fatigue cough high fever breathlessness sweating malaise phlegm chest pain fast heart rate rusty sputum,pneumonia
fatigue weight loss restlessness lethargy irregular sugar level blurred and distorted vision obesity excessive hunger increased appetite polyuria,diabetes
fatigue yellowish skin nausea loss of appetite yellowing of eyes family history,hepatitis-c
chills vomiting high fever sweating headache nausea diarrhoea muscle pain,malaria
itching vomiting fatigue weight loss high fever yellowish skin dark urine,jaundice
chills vomiting fatigue weight loss cough high fever breathlessness sweating loss of appetite mild fever yellowing of eyes swelled lymph nodes malaise phlegm chest pain blood in sputum,tuberculosis
muscle wasting patches in throat high fever extra marital contacts,aids
muscle weakness stiff neck swelling joints movement stiffness painful walking,arthritis
fatigue mood swings weight loss restlessness sweating diarrhoea fast heart rate excessive hunger muscle weakness irritability abnormal menstruation,hyperthyroidism
vomiting breathlessness sweating chest pain,heart-attack
itching skin rash fatigue lethargy high fever headache mild fever swelled lymph nodes malaise red spots over body,chicken-pox
back pain weakness in limbs dizziness loss of balance,cervical-spondylosis
joint pain vomiting fatigue high fever yellowish skin dark urine nausea loss of appetite abdominal pain yellowing of eyes acute liver failure coma stomach bleeding,hepatitis-e
stomach pain acidity ulcers on tongue vomiting chest pain,gerd
fatigue mood swings weight loss restlessness sweating diarrhoea fast heart rate excessive hunger muscle weakness irritability abnormal menstruation,hyperthyroidism
fatigue mood swings restlessness sweating diarrhoea fast heart rate excessive hunger muscle weakness irritability abnormal menstruation,hyperthyroidism
chills vomiting high fever sweating headache nausea diarrhoea muscle pain,malaria
vomiting fatigue anxiety sweating headache nausea blurred and distorted vision excessive hunger drying and tingling lips slurred speech irritability palpitations,hypoglycemia
headache weakness of one body side altered sensorium,paralysis-brain-hemorrhage
burning micturition bladder discomfort foul smell of urine continuous feel of urine,urinary-tract-infection
burning micturition bladder discomfort foul smell of urine continuous feel of urine,urinary-tract-infection
vomiting sunken eyes dehydration diarrhoea,gastroenteritis
back pain weakness in limbs neck pain dizziness loss of balance,cervical-spondylosis
muscle weakness stiff neck swelling joints movement stiffness painful walking,arthritis
vomiting weakness of one body side altered sensorium,paralysis-brain-hemorrhage
fatigue cramps bruising obesity swollen legs swollen blood vessels prominent veins on calf,varicose-veins
back pain weakness in limbs neck pain dizziness loss of balance,cervical-spondylosis
vomiting headache nausea spinning movements loss of balance unsteadiness,vertigo-paroymsal--positional-vertigo
itching skin rash fatigue lethargy high fever headache loss of appetite mild fever swelled lymph nodes malaise red spots over body,chicken-pox
continuous sneezing fatigue cough high fever headache swelled lymph nodes malaise phlegm throat irritation redness of eyes sinus pressure runny nose congestion chest pain loss of smell muscle pain,common-cold
muscle weakness stiff neck swelling joints movement stiffness painful walking,arthritis
itching fatigue lethargy high fever headache loss of appetite mild fever swelled lymph nodes malaise red spots over body,chicken-pox
chills fatigue cough breathlessness sweating malaise phlegm chest pain fast heart rate rusty sputum,pneumonia
skin rash pus filled pimples blackheads scurring,acne
constipation pain during bowel movements pain in anal region bloody stool,dimorphic-hemmorhoidspiles
fatigue mood swings weight loss restlessness sweating diarrhoea fast heart rate excessive hunger muscle weakness irritability abnormal menstruation,hyperthyroidism
joint pain neck pain knee pain hip joint pain swelling joints,osteoarthristis
pain during bowel movements pain in anal region bloody stool irritation in anus,dimorphic-hemmorhoidspiles
chills fatigue cough high fever breathlessness sweating malaise phlegm chest pain fast heart rate rusty sputum,pneumonia
vomiting yellowish skin abdominal pain swelling of stomach distention of abdomen history of alcohol consumption fluid overload,alcoholic-hepatitis
back pain weakness in limbs neck pain dizziness loss of balance,cervical-spondylosis
stomach pain acidity ulcers on tongue vomiting cough chest pain,gerd
chills vomiting high fever sweating headache diarrhoea muscle pain,malaria
vomiting abdominal pain swelling of stomach distention of abdomen history of alcohol consumption fluid overload,alcoholic-hepatitis
vomiting breathlessness sweating chest pain,heart-attack
chills vomiting high fever sweating headache nausea diarrhoea muscle pain,malaria
joint pain vomiting yellowish skin dark urine nausea loss of appetite abdominal pain diarrhoea mild fever yellowing of eyes muscle pain,hepatitis-a
joint pain vomiting dark urine nausea loss of appetite abdominal pain diarrhoea mild fever yellowing of eyes muscle pain,hepatitis-a
back pain neck pain dizziness loss of balance,cervical-spondylosis
itching skin rash fatigue lethargy high fever headache loss of appetite mild fever swelled lymph nodes malaise red spots over body,chicken-pox
itching skin rash nodal skin eruptions dischromic patches,fungal-infection
vomiting fatigue anxiety sweating headache nausea blurred and distorted vision excessive hunger drying and tingling lips slurred speech irritability palpitations,hypoglycemia
itching fatigue lethargy yellowish skin dark urine abdominal pain yellow urine yellowing of eyes malaise receiving blood transfusion receiving unsterile injections,hepatitis-b
itching skin rash dischromic patches,fungal-infection
vomiting indigestion loss of appetite abdominal pain passage of gases internal itching,peptic-ulcer-diseae
itching vomiting yellowish skin nausea loss of appetite abdominal pain yellowing of eyes,chronic-cholestasis
fatigue weight loss restlessness lethargy irregular sugar level obesity excessive hunger increased appetite polyuria,diabetes
burning micturition bladder discomfort foul smell of urine continuous feel of urine,urinary-tract-infection
joint pain vomiting fatigue yellowish skin dark urine nausea loss of appetite abdominal pain yellowing of eyes,hepatitis-d
continuous sneezing shivering chills watering from eyes,allergy
itching fatigue lethargy yellowish skin dark urine loss of appetite abdominal pain yellow urine yellowing of eyes malaise receiving blood transfusion receiving unsterile injections,hepatitis-b
vomiting headache nausea spinning movements loss of balance unsteadiness,vertigo-paroymsal--positional-vertigo
fatigue cramps bruising obesity swollen legs swollen blood vessels prominent veins on calf,varicose-veins
fatigue mood swings weight loss restlessness sweating diarrhoea fast heart rate excessive hunger muscle weakness irritability abnormal menstruation,hyperthyroidism
skin rash high fever blister yellow crust ooze,impetigo
acidity indigestion headache blurred and distorted vision excessive hunger stiff neck depression irritability visual disturbances,migraine
itching skin rash fatigue lethargy high fever headache loss of appetite mild fever swelled lymph nodes malaise red spots over body,chicken-pox
fatigue mood swings weight loss restlessness sweating diarrhoea fast heart rate excessive hunger muscle weakness irritability abnormal menstruation,hyperthyroidism
joint pain skin peeling silver like dusting small dents in nails inflammatory nails,psoriasis
fatigue cramps bruising obesity swollen legs swollen blood vessels prominent veins on calf,varicose-veins
fatigue weight loss restlessness lethargy irregular sugar level blurred and distorted vision obesity excessive hunger increased appetite polyuria,diabetes
itching yellowish skin nausea loss of appetite abdominal pain yellowing of eyes,chronic-cholestasis
continuous sneezing shivering chills watering from eyes,allergy
vomiting sunken eyes diarrhoea,gastroenteritis
fatigue yellowish skin nausea loss of appetite yellowing of eyes family history,hepatitis-c
chills vomiting high fever sweating headache nausea diarrhoea muscle pain,malaria
itching stomach pain burning micturition spotting urination,drug-reaction
acidity indigestion headache blurred and distorted vision excessive hunger stiff neck depression visual disturbances,migraine
vomiting high fever sweating headache nausea diarrhoea muscle pain,malaria
headache chest pain dizziness loss of balance lack of concentration,hypertension-
skin rash chills joint pain vomiting fatigue high fever headache nausea loss of appetite pain behind the eyes back pain malaise muscle pain red spots over body,dengue
fatigue cough high fever breathlessness family history mucoid sputum,bronchial-asthma
fatigue weight gain cold hands and feets mood swings lethargy dizziness puffy face and eyes enlarged thyroid brittle nails swollen extremeties depression irritability abnormal menstruation,hypothyroidism
itching fatigue lethargy yellowish skin dark urine abdominal pain yellow urine yellowing of eyes malaise receiving blood transfusion receiving unsterile injections,hepatitis-b
joint pain vomiting yellowish skin dark urine nausea loss of appetite abdominal pain diarrhoea mild fever yellowing of eyes muscle pain,hepatitis-a
headache chest pain dizziness lack of concentration,hypertension-
weakness in limbs neck pain dizziness loss of balance,cervical-spondylosis
chills fatigue cough breathlessness sweating malaise phlegm chest pain fast heart rate rusty sputum,pneumonia
muscle weakness stiff neck swelling joints movement stiffness painful walking,arthritis
skin rash high fever blister red sore around nose yellow crust ooze,impetigo
itching skin rash stomach pain burning micturition spotting urination,drug-reaction
continuous sneezing shivering watering from eyes,allergy
constipation pain during bowel movements pain in anal region bloody stool irritation in anus,dimorphic-hemmorhoidspiles
skin rash chills joint pain vomiting fatigue high fever headache nausea loss of appetite pain behind the eyes back pain malaise muscle pain red spots over body,dengue
itching skin rash fatigue high fever headache loss of appetite mild fever swelled lymph nodes malaise red spots over body,chicken-pox
vomiting sunken eyes dehydration diarrhoea,gastroenteritis
constipation pain during bowel movements pain in anal region bloody stool irritation in anus,dimorphic-hemmorhoidspiles
itching skin rash lethargy high fever headache loss of appetite mild fever swelled lymph nodes malaise red spots over body,chicken-pox
chills vomiting high fever sweating nausea diarrhoea muscle pain,malaria
vomiting yellowish skin abdominal pain distention of abdomen history of alcohol consumption fluid overload,alcoholic-hepatitis
vomiting fatigue high fever yellowish skin dark urine nausea loss of appetite abdominal pain yellowing of eyes acute liver failure coma stomach bleeding,hepatitis-e
joint pain vomiting fatigue yellowish skin dark urine nausea loss of appetite abdominal pain yellowing of eyes,hepatitis-d
continuous sneezing chills fatigue cough high fever headache swelled lymph nodes malaise phlegm throat irritation redness of eyes sinus pressure runny nose congestion chest pain loss of smell muscle pain,common-cold
chills vomiting fatigue weight loss cough high fever breathlessness sweating loss of appetite mild fever yellowing of eyes swelled lymph nodes malaise phlegm chest pain blood in sputum,tuberculosis
fatigue cough high fever family history mucoid sputum,bronchial-asthma
itching skin rash stomach pain burning micturition,drug-reaction
muscle weakness stiff neck swelling joints movement stiffness painful walking,arthritis
muscle wasting patches in throat high fever extra marital contacts,aids
fatigue yellowish skin nausea loss of appetite yellowing of eyes family history,hepatitis-c
itching vomiting yellowish skin nausea loss of appetite abdominal pain yellowing of eyes,chronic-cholestasis
vomiting sunken eyes dehydration diarrhoea,gastroenteritis
chills vomiting fatigue weight loss cough high fever breathlessness sweating loss of appetite mild fever yellowing of eyes swelled lymph nodes malaise phlegm chest pain blood in sputum,tuberculosis
back pain weakness in limbs neck pain dizziness loss of balance,cervical-spondylosis
joint pain vomiting yellowish skin dark urine loss of appetite abdominal pain diarrhoea mild fever yellowing of eyes muscle pain,hepatitis-a
fatigue weight loss restlessness irregular sugar level blurred and distorted vision obesity excessive hunger increased appetite polyuria,diabetes
vomiting sunken eyes dehydration diarrhoea,gastroenteritis
skin rash joint pain skin peeling silver like dusting small dents in nails inflammatory nails,psoriasis
stomach pain acidity ulcers on tongue vomiting cough chest pain,gerd
skin rash blister red sore around nose yellow crust ooze,impetigo
patches in throat high fever extra marital contacts,aids
joint pain vomiting yellowish skin dark urine loss of appetite abdominal pain diarrhoea mild fever yellowing of eyes muscle pain,hepatitis-a
constipation pain in anal region bloody stool irritation in anus,dimorphic-hemmorhoidspiles
muscle wasting patches in throat high fever extra marital contacts,aids
itching fatigue lethargy yellowish skin dark urine loss of appetite abdominal pain yellow urine yellowing of eyes malaise receiving blood transfusion receiving unsterile injections,hepatitis-b
chills vomiting fatigue weight loss cough breathlessness sweating loss of appetite mild fever yellowing of eyes swelled lymph nodes malaise phlegm chest pain blood in sputum,tuberculosis
joint pain vomiting fatigue high fever yellowish skin dark urine nausea loss of appetite abdominal pain yellowing of eyes acute liver failure coma stomach bleeding,hepatitis-e
burning micturition bladder discomfort foul smell of urine continuous feel of urine,urinary-tract-infection
vomiting breathlessness chest pain,heart-attack
joint pain vomiting fatigue high fever yellowish skin dark urine nausea loss of appetite abdominal pain yellowing of eyes acute liver failure coma stomach bleeding,hepatitis-e
acidity indigestion blurred and distorted vision excessive hunger stiff neck depression irritability visual disturbances,migraine
vomiting headache weakness of one body side altered sensorium,paralysis-brain-hemorrhage
fatigue yellowish skin nausea loss of appetite yellowing of eyes family history,hepatitis-c
vomiting fatigue anxiety sweating headache nausea blurred and distorted vision excessive hunger drying and tingling lips slurred speech irritability palpitations,hypoglycemia
joint pain vomiting fatigue yellowish skin dark urine nausea loss of appetite abdominal pain yellowing of eyes acute liver failure coma stomach bleeding,hepatitis-e
vomiting indigestion abdominal pain passage of gases internal itching,peptic-ulcer-diseae
joint pain neck pain knee pain hip joint pain swelling joints,osteoarthristis
itching vomiting yellowish skin nausea abdominal pain yellowing of eyes,chronic-cholestasis
vomiting headache nausea spinning movements loss of balance unsteadiness,vertigo-paroymsal--positional-vertigo
acidity indigestion headache blurred and distorted vision excessive hunger stiff neck irritability visual disturbances,migraine
muscle wasting patches in throat high fever extra marital contacts,aids
acidity indigestion blurred and distorted vision excessive hunger stiff neck depression irritability visual disturbances,migraine
muscle weakness stiff neck swelling joints movement stiffness painful walking,arthritis
itching vomiting fatigue weight loss high fever yellowish skin abdominal pain,jaundice
muscle wasting patches in throat high fever extra marital contacts,aids
continuous sneezing chills fatigue cough headache swelled lymph nodes malaise phlegm throat irritation redness of eyes sinus pressure runny nose congestion chest pain loss of smell muscle pain,common-cold
fatigue weight gain cold hands and feets mood swings lethargy dizziness puffy face and eyes enlarged thyroid brittle nails swollen extremeties depression irritability abnormal menstruation,hypothyroidism
fatigue weight gain cold hands and feets mood swings lethargy dizziness enlarged thyroid brittle nails swollen extremeties depression irritability abnormal menstruation,hypothyroidism
vomiting sunken eyes dehydration,gastroenteritis
chills vomiting fatigue weight loss cough high fever breathlessness sweating loss of appetite mild fever yellowing of eyes swelled lymph nodes malaise phlegm chest pain blood in sputum,tuberculosis
fatigue weight gain cold hands and feets mood swings lethargy dizziness puffy face and eyes enlarged thyroid brittle nails swollen extremeties depression irritability abnormal menstruation,hypothyroidism
itching vomiting yellowish skin nausea loss of appetite abdominal pain yellowing of eyes,chronic-cholestasis
vomiting weakness of one body side altered sensorium,paralysis-brain-hemorrhage
itching fatigue lethargy high fever headache loss of appetite mild fever swelled lymph nodes malaise red spots over body,chicken-pox
itching skin rash stomach pain burning micturition spotting urination,drug-reaction
fatigue weight gain cold hands and feets mood swings lethargy dizziness puffy face and eyes enlarged thyroid brittle nails swollen extremeties depression irritability abnormal menstruation,hypothyroidism
joint pain vomiting fatigue yellowish skin dark urine nausea loss of appetite abdominal pain yellowing of eyes,hepatitis-d
joint pain vomiting fatigue yellowish skin dark urine nausea loss of appetite abdominal pain yellowing of eyes,hepatitis-d
skin rash blackheads scurring,acne
joint pain vomiting yellowish skin dark urine nausea loss of appetite abdominal pain diarrhoea mild fever yellowing of eyes muscle pain,hepatitis-a
fatigue yellowish skin nausea loss of appetite yellowing of eyes,hepatitis-c
chills vomiting fatigue high fever nausea constipation abdominal pain diarrhoea toxic look typhos belly pain,typhoid
vomiting yellowish skin abdominal pain swelling of stomach distention of abdomen history of alcohol consumption fluid overload,alcoholic-hepatitis
